,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,album_image,mood_vectors
0,Malaai Chaana Na,1,3IJQVaQcf1LQDrPEhGIlnH,Malaai Chaana Na,spotify:track:3IJQVaQcf1LQDrPEhGIlnH,https://p.scdn.co/mp3-preview/3c8cf0b1647fc719e652b23b2ca4ac71ee5bfee4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.248,0.283,48,https://i.scdn.co/image/ab67616d0000b27363a1ce24bd655497af8b1c80,"[0.283, 0.248]"
1,Malaai Chaana Na,2,7LdTjqwkSBAKzjssfIDHBO,Aaja Matra,spotify:track:7LdTjqwkSBAKzjssfIDHBO,https://p.scdn.co/mp3-preview/3cda765a78de40999e1037ddb0d9ac2040121dd4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.289,0.303,41,https://i.scdn.co/image/ab67616d0000b27363a1ce24bd655497af8b1c80,"[0.303, 0.289]"
2,Katha: Episode VIII - Tadhiera,1,7iwQRdO2T6VZ5XoSywHgP6,Katha: Episode VIII - Tadhiera,spotify:track:7iwQRdO2T6VZ5XoSywHgP6,https://p.scdn.co/mp3-preview/5423214e89e87a46cda34b85471add4e3a90adf1?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5sml6juxnDkUFi3K3bRAuq'}, 'href': 'https://api.spotify.com/v1/artists/5sml6juxnDkUFi3K3bRAuq', 'id': '5sml6juxnDkUFi3K3bRAuq', 'name': 'Wangden Sherpa', 'type': 'artist', 'uri': 'spotify:artist:5sml6juxnDkUFi3K3bRAuq'}]",0.388,0.181,37,https://i.scdn.co/image/ab67616d0000b27327ed17a2c725e413c7f461ce,"[0.181, 0.388]"
3,Aaja Matra,1,011dHuXjT234VBO6z5O6kJ,Aaja Matra,spotify:track:011dHuXjT234VBO6z5O6kJ,https://p.scdn.co/mp3-preview/e93413691918ab5ac9ac72c7b31f41aef38bdbc2?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.289,0.311,43,https://i.scdn.co/image/ab67616d0000b27381b45d1a66f9e6a780ce6d60,"[0.311, 0.289]"
4,Aaja Matra,2,5qsBQg9qCwqzFHfgfUGVss,Suna Kaanchi,spotify:track:5qsBQg9qCwqzFHfgfUGVss,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.401,0.775,39,https://i.scdn.co/image/ab67616d0000b27381b45d1a66f9e6a780ce6d60,"[0.775, 0.401]"
5,Katha: Episode VII - Jeevan,1,35pLMyMgUKbBMgDP2sLFsh,Katha: Episode VII - Jeevan,spotify:track:35pLMyMgUKbBMgDP2sLFsh,https://p.scdn.co/mp3-preview/e08faa8c58f5b8b9a6584ce2193b429c4b0da14e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Sw9fGSv8Ms7f0AcI5ewh8'}, 'href': 'https://api.spotify.com/v1/artists/3Sw9fGSv8Ms7f0AcI5ewh8', 'id': '3Sw9fGSv8Ms7f0AcI5ewh8', 'name': 'Dixita Karki', 'type': 'artist', 'uri': 'spotify:artist:3Sw9fGSv8Ms7f0AcI5ewh8'}]",0.328,0.309,36,https://i.scdn.co/image/ab67616d0000b27304b2c90ed815220b95257b7e,"[0.309, 0.328]"
6,Suna Kaanchi,1,2PUAaqMu3nSSk8XFO1xUFZ,Suna Kaanchi,spotify:track:2PUAaqMu3nSSk8XFO1xUFZ,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.401,0.775,59,https://i.scdn.co/image/ab67616d0000b273526ed0c0d1ce4f23f7c53d23,"[0.775, 0.401]"
7,Suna Kaanchi,2,7Kh6uUEyql7rzf8rMmmYKj,Pahaar,spotify:track:7Kh6uUEyql7rzf8rMmmYKj,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,38,https://i.scdn.co/image/ab67616d0000b273526ed0c0d1ce4f23f7c53d23,"[0.179, 0.539]"
8,Pahaar (Live Version),1,0EUxdsQ25l0BMgdVQNhAy2,Pahaar - Live Version,spotify:track:0EUxdsQ25l0BMgdVQNhAy2,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,37,https://i.scdn.co/image/ab67616d0000b273a581d047b03c43f83057fb22,"[0.179, 0.539]"
9,Pahaar (Live Version),2,7CgwUXqJyD7BjIzXsuVKBT,Nothing In My Head Besides Timi,spotify:track:7CgwUXqJyD7BjIzXsuVKBT,https://p.scdn.co/mp3-preview/7f83ef963f323fbd7acb8b04101784689071f827?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.881,0.89,34,https://i.scdn.co/image/ab67616d0000b273a581d047b03c43f83057fb22,"[0.89, 0.881]"
10,Ujeli,1,1cY8DmEeV6gkbxFazKmsSN,Ujeli,spotify:track:1cY8DmEeV6gkbxFazKmsSN,https://p.scdn.co/mp3-preview/50d0a972b37fb268de7008346c1173ba399cb0bb?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.446,0.318,54,https://i.scdn.co/image/ab67616d0000b273bb01c42af981174da6db4436,"[0.318, 0.446]"
11,Ujeli,2,027R4b2RaH58ADaravxzw7,Nothing In My Head Besides Timi,spotify:track:027R4b2RaH58ADaravxzw7,https://p.scdn.co/mp3-preview/07ec31b4d7f8c4c09ee9bf44bb30f0d271838578?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.881,0.892,34,https://i.scdn.co/image/ab67616d0000b273bb01c42af981174da6db4436,"[0.892, 0.881]"
12,Nothing In My Head Besides Timi,1,5y3ThPX4OfaTNqthyWwO1P,Nothing In My Head Besides Timi,spotify:track:5y3ThPX4OfaTNqthyWwO1P,https://p.scdn.co/mp3-preview/58b646b6ff72f8808db202796af49bfc63e10f99?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.881,0.891,42,https://i.scdn.co/image/ab67616d0000b273f5dde26460028d9f0704f30d,"[0.891, 0.881]"
13,Aayen Ma,1,37JMDhP16Cx3gGlkh4zfx2,Aayen Ma,spotify:track:37JMDhP16Cx3gGlkh4zfx2,https://p.scdn.co/mp3-preview/cd70406dfd7d0c55754cd3610b28d4af29d38811?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.55,0.238,39,https://i.scdn.co/image/ab67616d0000b27312cf2f5395d8c04e04ea6f74,"[0.238, 0.55]"
14,Katha: Episode VI - Aaundai Jaandai,1,10GfcvUgsZlpTtJiDXd3jZ,Katha: Episode VI - Aaundai Jaandai,spotify:track:10GfcvUgsZlpTtJiDXd3jZ,https://p.scdn.co/mp3-preview/897b56e493b308af80ce2b67b7e32eec7275f2c7?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3HCXwGbcij73gYMdmHjFQf'}, 'href': 'https://api.spotify.com/v1/artists/3HCXwGbcij73gYMdmHjFQf', 'id': '3HCXwGbcij73gYMdmHjFQf', 'name': 'Manish Gandharva', 'type': 'artist', 'uri': 'spotify:artist:3HCXwGbcij73gYMdmHjFQf'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4QNSrG0YTLP5u1KFnVvMQo'}, 'href': 'https://api.spotify.com/v1/artists/4QNSrG0YTLP5u1KFnVvMQo', 'id': '4QNSrG0YTLP5u1KFnVvMQo', 'name': 'Sarun Tamrakar', 'type': 'artist', 'uri': 'spotify:artist:4QNSrG0YTLP5u1KFnVvMQo'}]",0.258,0.364,35,https://i.scdn.co/image/ab67616d0000b2739c92980a147281dad79deb25,"[0.364, 0.258]"
15,Hyatteri,1,0kMqT2uW2NijYJTcot7IWE,Hyatteri,spotify:track:0kMqT2uW2NijYJTcot7IWE,https://p.scdn.co/mp3-preview/8aaa96771276049af93c145efda30b482b721a78?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.549,0.856,53,https://i.scdn.co/image/ab67616d0000b2738e9e7f8cda60609774d8bd22,"[0.856, 0.549]"
16,Dhairya,1,1pKprNwMXs64PhxFcFMWCA,Dhairya,spotify:track:1pKprNwMXs64PhxFcFMWCA,https://p.scdn.co/mp3-preview/718ebb91b1b6fdac3f8c419d3f2782e54bfe7cac?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.322,0.304,55,https://i.scdn.co/image/ab67616d0000b27395dac48287d3c49378394ac0,"[0.304, 0.322]"
17,Katha: Episode V - Alapatra,1,3Q5JcxqKmSE9hKGk3WmspW,Katha: Episode V - Alapatra,spotify:track:3Q5JcxqKmSE9hKGk3WmspW,https://p.scdn.co/mp3-preview/bae94c73b90c10b7513e9db501de5db22a5953e9?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1D0B4qrMRfjzDfBlijs3YH'}, 'href': 'https://api.spotify.com/v1/artists/1D0B4qrMRfjzDfBlijs3YH', 'id': '1D0B4qrMRfjzDfBlijs3YH', 'name': 'Yabesh Thapa', 'type': 'artist', 'uri': 'spotify:artist:1D0B4qrMRfjzDfBlijs3YH'}]",0.2,0.308,42,https://i.scdn.co/image/ab67616d0000b2734beeb7efb04a0c7b8ccbafe8,"[0.308, 0.2]"
18,Ek Sarvanaam,1,25jpyDVM8HFfNuos94WiE0,Ek Sarvanaam,spotify:track:25jpyDVM8HFfNuos94WiE0,https://p.scdn.co/mp3-preview/befce3c8b71031d4697774ff26233cd5ea758971?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.348,0.637,45,https://i.scdn.co/image/ab67616d0000b273a6f554b2f22b139e7b7a9a1c,"[0.637, 0.348]"
19,Sasto Mutu,1,4iHcmWi4kGGNCEk44ZIXIc,Sasto Mutu,spotify:track:4iHcmWi4kGGNCEk44ZIXIc,https://p.scdn.co/mp3-preview/894682c19eb938e46513e44fbb590f3a85530bb8?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.538,0.369,58,https://i.scdn.co/image/ab67616d0000b2739c6e41236e9710de4e358ff8,"[0.369, 0.538]"
20,Naganya Maya,1,4sakBPqSpuj6FJti1rPme7,Naganya Maya,spotify:track:4sakBPqSpuj6FJti1rPme7,https://p.scdn.co/mp3-preview/76674fe39845a0b1d1755150de43b9da74c49ad5?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.26,0.205,55,https://i.scdn.co/image/ab67616d0000b273586c6aae9b44133d3690d343,"[0.205, 0.26]"
21,Parkhaai,1,2ek8eVDHsdmzPHIhyVNJJe,Parkhaai,spotify:track:2ek8eVDHsdmzPHIhyVNJJe,https://p.scdn.co/mp3-preview/bad2843c91f0ec2417d73db9ca92229271fe944a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.28,0.337,51,https://i.scdn.co/image/ab67616d0000b2735fd9d178f8310a6ad6c7f0e0,"[0.337, 0.28]"
22,Parkhaai,2,01DNXEEngoTrrI0DMLRJoI,Sukumbaasi,spotify:track:01DNXEEngoTrrI0DMLRJoI,https://p.scdn.co/mp3-preview/f7ecd69db93dc000f4932604ded82464b3645720?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.215,0.209,34,https://i.scdn.co/image/ab67616d0000b2735fd9d178f8310a6ad6c7f0e0,"[0.209, 0.215]"
23,Parkhaai,3,30JIX9O5XPxZtOox3U9W6F,Ultaa Paailaa,spotify:track:30JIX9O5XPxZtOox3U9W6F,https://p.scdn.co/mp3-preview/36f90bd4b9b970e39b0a13c787b5e059880d8d72?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.22,0.279,36,https://i.scdn.co/image/ab67616d0000b2735fd9d178f8310a6ad6c7f0e0,"[0.279, 0.22]"
24,Ultaa Paailaa,1,7BAkWCHoI417qAdHyy1YUH,Ultaa Paailaa,spotify:track:7BAkWCHoI417qAdHyy1YUH,https://p.scdn.co/mp3-preview/36f90bd4b9b970e39b0a13c787b5e059880d8d72?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.22,0.279,47,https://i.scdn.co/image/ab67616d0000b273f756f43daae2c73063dc2cb4,"[0.279, 0.22]"
25,Lukaamaari,1,6PgAZFD8x5KwV0tKLkm4gf,Lukaamaari,spotify:track:6PgAZFD8x5KwV0tKLkm4gf,https://p.scdn.co/mp3-preview/8c1721256613376665f7825123c45491daa01a0c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.242,0.311,46,https://i.scdn.co/image/ab67616d0000b273d8e68f6d571723a7982272d1,"[0.311, 0.242]"
26,Purva Jaaney Panchi,1,0x7IaHEklh7XfRj3PNVDef,Purva Jaaney Panchi,spotify:track:0x7IaHEklh7XfRj3PNVDef,https://p.scdn.co/mp3-preview/f92f0432d6c112f286c69038345f00b629d552ed?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5cMU6M0MAZQh7SHWtYj71P'}, 'href': 'https://api.spotify.com/v1/artists/5cMU6M0MAZQh7SHWtYj71P', 'id': '5cMU6M0MAZQh7SHWtYj71P', 'name': 'Joyous Gurung', 'type': 'artist', 'uri': 'spotify:artist:5cMU6M0MAZQh7SHWtYj71P'}]",0.22,0.352,30,https://i.scdn.co/image/ab67616d0000b273fae96ec46adf881dcb778d07,"[0.352, 0.22]"
27,Parkha Na,1,4zdOY2zRsFjG2B8OMH17sJ,Parkha Na,spotify:track:4zdOY2zRsFjG2B8OMH17sJ,https://p.scdn.co/mp3-preview/3f19a36b43a6665deb63fb0161b2666639952c38?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.374,0.381,50,https://i.scdn.co/image/ab67616d0000b273b690325fa9a2f20ddb765eb3,"[0.381, 0.374]"
28,Jhyal Bata,1,3xy94W4sjVZv1BhsdmgwAS,Jhyal Bata,spotify:track:3xy94W4sjVZv1BhsdmgwAS,https://p.scdn.co/mp3-preview/4ae39c80e075ea388ed0b9382a1bca9bf99d7c0a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.354,0.229,49,https://i.scdn.co/image/ab67616d0000b2730d1cbdd11518fa49d6ba7a2d,"[0.229, 0.354]"
29,Atteri,1,78W8nJUvPkhFMXZlyISbvf,Atteri,spotify:track:78W8nJUvPkhFMXZlyISbvf,https://p.scdn.co/mp3-preview/2a236283aac4868259cdbf3be9ae8ab0f097105a?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}]",0.644,0.292,43,https://i.scdn.co/image/ab67616d0000b2735d1c9c841100a505c949ee7e,"[0.292, 0.644]"
30,Behos,1,3Rqzc6Jiexj1KJrXBKehEq,Behos,spotify:track:3Rqzc6Jiexj1KJrXBKehEq,https://p.scdn.co/mp3-preview/ce1a193a75f4f3c08e297c13b8df096be56fe038?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5R5EUMWsrYDt3ItavrP6C5'}, 'href': 'https://api.spotify.com/v1/artists/5R5EUMWsrYDt3ItavrP6C5', 'id': '5R5EUMWsrYDt3ItavrP6C5', 'name': 'Sushant KC', 'type': 'artist', 'uri': 'spotify:artist:5R5EUMWsrYDt3ItavrP6C5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4zpcRnIPiVnSgahFpQRiMN'}, 'href': 'https://api.spotify.com/v1/artists/4zpcRnIPiVnSgahFpQRiMN', 'id': '4zpcRnIPiVnSgahFpQRiMN', 'name': 'Ruslan Studio', 'type': 'artist', 'uri': 'spotify:artist:4zpcRnIPiVnSgahFpQRiMN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5HfnXv8QG6AKoIJNI7NDWW'}, 'href': 'https://api.spotify.com/v1/artists/5HfnXv8QG6AKoIJNI7NDWW', 'id': '5HfnXv8QG6AKoIJNI7NDWW', 'name': 'The Bangers', 'type': 'artist', 'uri': 'spotify:artist:5HfnXv8QG6AKoIJNI7NDWW'}]",0.497,0.251,34,https://i.scdn.co/image/ab67616d0000b273f158768714b6698ff9035a74,"[0.251, 0.497]"
