,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,album_image,mood_vectors
408,Oh Maicha,1,5HgekSniwFg9VS3ZSBEUjp,Oh Maicha,spotify:track:5HgekSniwFg9VS3ZSBEUjp,https://p.scdn.co/mp3-preview/113f32212aea137e97edd9003c88008cbad8aa9e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09Dgzq8dbeGVQ6G30PRSEI'}, 'href': 'https://api.spotify.com/v1/artists/09Dgzq8dbeGVQ6G30PRSEI', 'id': '09Dgzq8dbeGVQ6G30PRSEI', 'name': 'Brijesh Shrestha', 'type': 'artist', 'uri': 'spotify:artist:09Dgzq8dbeGVQ6G30PRSEI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1GsVMJEjWqCO7I5WU2BGXi'}, 'href': 'https://api.spotify.com/v1/artists/1GsVMJEjWqCO7I5WU2BGXi', 'id': '1GsVMJEjWqCO7I5WU2BGXi', 'name': 'Barsha Karmacharya', 'type': 'artist', 'uri': 'spotify:artist:1GsVMJEjWqCO7I5WU2BGXi'}]",0.497,0.943,39,https://i.scdn.co/image/ab67616d0000b2730c6ee522684e4203778cf598,"[0.943, 0.497]"
409,Dalli,1,1ICaLs8xTNzinrLF6zMycL,Dalli,spotify:track:1ICaLs8xTNzinrLF6zMycL,https://p.scdn.co/mp3-preview/2fe5842ebd946e8c607e6e1991bab4a246b59222?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09Dgzq8dbeGVQ6G30PRSEI'}, 'href': 'https://api.spotify.com/v1/artists/09Dgzq8dbeGVQ6G30PRSEI', 'id': '09Dgzq8dbeGVQ6G30PRSEI', 'name': 'Brijesh Shrestha', 'type': 'artist', 'uri': 'spotify:artist:09Dgzq8dbeGVQ6G30PRSEI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2bxABvpp6jwhZEd8PaZJiY'}, 'href': 'https://api.spotify.com/v1/artists/2bxABvpp6jwhZEd8PaZJiY', 'id': '2bxABvpp6jwhZEd8PaZJiY', 'name': 'Beyond', 'type': 'artist', 'uri': 'spotify:artist:2bxABvpp6jwhZEd8PaZJiY'}]",0.442,0.768,45,https://i.scdn.co/image/ab67616d0000b273af7fe3284199270368a0ffa8,"[0.768, 0.442]"
410,Kesa Timro,1,3VLLB3lRACIFGvRJJ0M1m5,Kesa Timro,spotify:track:3VLLB3lRACIFGvRJJ0M1m5,https://p.scdn.co/mp3-preview/e66ba23d2b07310faeac3f0d20ed9df118e19269?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09Dgzq8dbeGVQ6G30PRSEI'}, 'href': 'https://api.spotify.com/v1/artists/09Dgzq8dbeGVQ6G30PRSEI', 'id': '09Dgzq8dbeGVQ6G30PRSEI', 'name': 'Brijesh Shrestha', 'type': 'artist', 'uri': 'spotify:artist:09Dgzq8dbeGVQ6G30PRSEI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2bxABvpp6jwhZEd8PaZJiY'}, 'href': 'https://api.spotify.com/v1/artists/2bxABvpp6jwhZEd8PaZJiY', 'id': '2bxABvpp6jwhZEd8PaZJiY', 'name': 'Beyond', 'type': 'artist', 'uri': 'spotify:artist:2bxABvpp6jwhZEd8PaZJiY'}]",0.557,0.649,24,https://i.scdn.co/image/ab67616d0000b27344ba29f6c64b8598095d31a8,"[0.649, 0.557]"
411,Malai Man Pardaina Timro Rap,1,4bOYAY76lxFLlBAe0QAaJc,Keraisiti (Intro),spotify:track:4bOYAY76lxFLlBAe0QAaJc,https://p.scdn.co/mp3-preview/ef2d151642eb75e1de73093ad84846b17e908d49?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.473,0.173,12,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.173, 0.473]"
412,Malai Man Pardaina Timro Rap,2,4CqsUeAacFVC2Mu5KSITtM,Malai Man Pardaina Timro Rap,spotify:track:4CqsUeAacFVC2Mu5KSITtM,https://p.scdn.co/mp3-preview/2e7211d0abfb3840aa159c2659deec3d83a7a3b1?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.666,0.791,15,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.791, 0.666]"
413,Malai Man Pardaina Timro Rap,3,46rQZD8ySVj8eAEAfkiBSz,Umlanadeu,spotify:track:46rQZD8ySVj8eAEAfkiBSz,https://p.scdn.co/mp3-preview/d83dfe6bcac6f9d5dac9d3e1d46662d58887fe9c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.528,0.508,6,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.508, 0.528]"
414,Malai Man Pardaina Timro Rap,4,4IGjlR8PreSkPA52GB8Gsn,Basana,spotify:track:4IGjlR8PreSkPA52GB8Gsn,https://p.scdn.co/mp3-preview/edba0be0d630ebd3e71268b7f01e6002ba250a14?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.434,0.581,2,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.581, 0.434]"
415,Malai Man Pardaina Timro Rap,5,6AI2CgX06DiiXHeEfyeUq0,Phone Don't Ring,spotify:track:6AI2CgX06DiiXHeEfyeUq0,https://p.scdn.co/mp3-preview/eed5ea86fe2f4e05b31fe1092ebe294258e699ed?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.515,0.145,5,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.145, 0.515]"
416,Malai Man Pardaina Timro Rap,6,3kMsjzb67GpgGBkXCKBDy2,Thinking About You,spotify:track:3kMsjzb67GpgGBkXCKBDy2,https://p.scdn.co/mp3-preview/5e11e89565904749b1422a4708259bf04ea21d89?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.5,0.196,3,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.196, 0.5]"
417,Malai Man Pardaina Timro Rap,7,1tv5iFSQfqBGJzZIeqEVHS,Up in the Clouds,spotify:track:1tv5iFSQfqBGJzZIeqEVHS,https://p.scdn.co/mp3-preview/b5f5da5689d894744fc4c4064e66a8b76a3a4c88?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNdXclpzyUd9ueEmje014'}, 'href': 'https://api.spotify.com/v1/artists/1uNdXclpzyUd9ueEmje014', 'id': '1uNdXclpzyUd9ueEmje014', 'name': 'Manas Ghale', 'type': 'artist', 'uri': 'spotify:artist:1uNdXclpzyUd9ueEmje014'}]",0.628,0.49,2,https://i.scdn.co/image/ab67616d0000b2738d6a95eec4f12dec16ba89b0,"[0.49, 0.628]"
